City,Original Equipment Manufacturer,Car,Year,Price,Kms Driven,Owner,Fuel Type,Transmission,Mileage,Max Power,Engine
Bangalore,Toyota,Toyota Corolla Altis,2011,6.0,120000.0,1,Diesel,Manual,21.43,87.2,1364.0
Bangalore,Maruti,Maruti Swift Dzire,2015,6.75,25170.0,1,Petrol,Manual,22.41,88.5,1197.0
Bangalore,Maruti,Maruti Ciaz,2021,8.93,25022.0,1,Petrol,Manual,20.65,103.25,1462.0
Bangalore,Maruti,Maruti Swift,2012,4.2,100000.0,2,Diesel,Manual,22.9,74.0,1248.0
Bangalore,Maruti,Maruti Ciaz,2020,9.41,26367.0,1,Petrol,Manual,20.65,103.25,1462.0
Bangalore,Hyundai,Hyundai Elantra,2015,6.3,76567.0,2,Petrol,Automatic,14.5,147.5,1797.0
Bangalore,Toyota,Toyota Innova,2013,12.75,120000.0,2,Diesel,Manual,12.99,100.6,2494.0
Bangalore,Hyundai,Hyundai Grand i10,2015,5.25,36459.0,2,Petrol,Automatic,18.9,82.0,1197.0
Bangalore,Maruti,Maruti SX4 S Cross,2016,7.5,93725.0,1,Diesel,Manual,23.65,88.5,1248.0
Bangalore,Maruti,Maruti Ciaz,2016,6.32,115599.0,2,Petrol,Automatic,19.12,91.1,1373.0
Bangalore,Maruti,Maruti Swift Dzire,2015,6.45,43469.0,1,Petrol,Manual,22.41,88.5,1197.0
Bangalore,Ford,Ford Ikon,2005,5.0,70000.0,4,Petrol,Manual,13.8,70.0,1299.0
Bangalore,BMW,BMW X5,2019,67.95,77000.0,2,Diesel,Automatic,13.38,261.5,2993.0
Bangalore,Maruti,Maruti Vitara Brezza,2018,8.5,100000.0,1,Diesel,Manual,24.3,88.5,1248.0
Bangalore,Mitsubishi,Mitsubishi Cedia,2008,2.99,72000.0,1,Petrol,Manual,14.7,115.0,1999.0
Bangalore,Jaguar,Jaguar XF,2013,20.95,77000.0,1,Diesel,Automatic,16.36,187.7,2179.0
Bangalore,Audi,Audi Q7,2013,28.0,87101.0,1,Diesel,Automatic,12.07,241.4,2967.0
Bangalore,Volkswagen,Volkswagen Polo,2021,9.99,40771.0,2,Petrol,Manual,18.24,108.62,999.0
Bangalore,Honda,Honda Jazz,2018,8.25,28000.0,1,Petrol,Manual,18.7,88.7,1199.0
Bangalore,Maruti,Maruti Wagon R,2008,2.5,40000.0,3,Petrol,Manual,18.9,67.0,1061.0
Bangalore,Hyundai,Hyundai Venue,2020,12.95,26000.0,1,Petrol,Automatic,18.15,118.35,998.0
Bangalore,Maruti,Maruti Wagon R,2012,3.29,76032.0,1,Petrol,Manual,18.9,67.1,998.0
Bangalore,Maruti,Maruti Ciaz,2018,6.66,113780.0,1,Petrol,Manual,21.56,103.25,1462.0
